lon,lat,lonmid,latmid,UPWdays,DNWdays
6.2208333454,36.9515525618,6.2444473161,36.9260416802,6.3452380952,3.248015873
6.2530737826,36.9666666803,6.2369038542,36.9656250136,3.0843253968,4.8015873016
6.2364959539,36.9812500137,6.3208333457,37.0506790888,17.9027777778,6.2599206349
6.4307264074,37.081250014,6.5220718255,37.0677083473,6.5128968254,7.2906746032
6.5898972737,37.0135416805,6.5822916799,36.993350921,0.7658730159,0.8363095238
6.5709214477,36.9947916804,6.6343750134,36.9651877155,0.0952380952,2.4623015873
6.7031250136,36.9558293405,6.739583347,36.9599353456,0.1706349206,2.1200396825
6.7583552716,36.9500000136,6.8048487822,36.9552083469,0.2628968254,2.255952381
6.8557878112,36.9531250136,6.8737986545,36.9343750135,0.0873015873,3.501984127
6.8951150001,36.9114583468,6.9635416811,36.8931870981,0.7976190476,2.8194444444
7.0479166814,36.9156250135,7.1093750149,36.9296101622,0.4890873016,2.8075396825
7.153125015,36.9165278418,7.1760416818,36.9389316088,1.1646825397,0.6478174603
7.1972547895,36.9562500136,7.2219651596,36.9843750137,0.5158730159,0.0813492063
7.2364583486,37.0270833472,7.1968750152,37.0543997219,4.0009920635,0.255952381
7.1583224044,37.0802083473,7.2343750153,37.0904103993,1.6130952381,4.7609126984
7.3244631886,37.081250014,7.3557155482,37.0822916807,2.2688492063,5.505952381
7.3947916825,37.0649974028,7.4583333493,37.049113489,3.5704365079,6.7777777778
7.5259334015,37.0354166805,7.5983746812,36.970833347,0.1299603175,3.2658730159
7.6781250167,36.9726787239,7.7322916836,36.9620302425,0.4950396825,2.2966269841
7.8000000171,36.9718750137,7.7928343582,36.9447916802,0.0426587302,1.0496031746
7.7843750171,36.9247926445,7.8648245245,36.8500000133,0.2351190476,4.6329365079
7.9145833508,36.860609892,7.9583333509,36.8645267352,3.0744047619,3.9375
7.9880100006,36.86666668,8.1197916848,36.9160478683,5.8888888889,3.8720238095
8.2514969321,36.9541666803,8.3416666855,36.929135115,3.8055555556,9.2132936508
8.4229166858,36.9124305687,8.6028859486,36.9468750136,3.0734126984,6.5714285714
8.7731578782,36.967708347,8.9353968457,37.0541666806,3.2926587302,3.3273809524
9.0833333545,37.1650365403,9.1641869681,37.2041666811,1.8035714286,3.7688492063
9.2305511823,37.2385416812,9.3311419241,37.2416666812,1.5515873016,6.9603174603
9.4145833556,37.281334801,9.4032945137,37.2947916814,14.2936507937,6.5188492063
9.3892452537,37.2968750147,9.41004855,37.3114583481,3.6617063492,8.556547619
9.4343617242,37.3104166814,9.4395833557,37.2857812651,2.6646825397,6.7083333333
9.4374776204,37.2791666813,9.5218862639,37.2968750147,9.6011904762,19.0238095238
9.5947916895,37.3140063099,9.6697916898,37.3478363541,10.0426587302,21.4117063492
9.7666666901,37.3528300297,9.8156082221,37.3427083482,13.0367063492,26.5456349206
9.8708416906,37.3416666815,9.8961165292,37.3000000147,11.3174603175,26.1795634921
9.9260416906,37.2684027919,10.0114583575,37.2638265121,11.3859126984,24.9603174603
10.0947916911,37.2655237418,10.158333358,37.2349317673,12.5892857143,27.2390873016
10.2208793151,37.2031250144,10.2916666917,37.2025066397,9.005952381,21.8333333333
